date,o3_avg,o3_max,o3_min,pm10_avg,pm10_max,pm10_min,pm25_avg,pm25_max,pm25_min,uvi_avg,uvi_max,uvi_min,city,station_latitude,station_longitude,dominant_pollutant,current_overall_aqi,hour,day,month,day_of_week,is_weekend,aqi_lag_1,aqi_change_rate,aqi_rolling_mean_3,aqi_target,ingested_at
2026-04-20,29.0,29.0,29.0,93.6,93.6,93.6,57.9,57.9,57.9,,,,lahore,31.5204,74.3587,pm25,82,0,20,4,0,0,,,57.9,47.8,2026-07-19 17:41:27.344846+00:00
2026-04-20,39.0,39.0,39.0,81.7,81.7,81.7,47.8,47.8,47.8,,,,lahore,31.5204,74.3587,pm25,85,1,20,4,0,0,57.9,-17.443868739205527,52.849999999999994,39.6,2026-07-19 17:41:27.344846+00:00
2026-04-20,47.0,47.0,47.0,71.5,71.5,71.5,39.6,39.6,39.6,,,,lahore,31.5204,74.3587,pm25,87,2,20,4,0,0,47.8,-17.154811715481163,48.43333333333334,35.0,2026-07-19 17:41:27.344846+00:00
2026-04-20,49.0,49.0,49.0,63.8,63.8,63.8,35.0,35.0,35.0,,,,lahore,31.5204,74.3587,pm25,88,3,20,4,0,0,39.6,-11.61616161616162,40.8,32.0,2026-07-19 17:41:27.344846+00:00
2026-04-20,50.0,50.0,50.0,56.7,56.7,56.7,32.0,32.0,32.0,,,,lahore,31.5204,74.3587,pm25,89,4,20,4,0,0,35.0,-8.571428571428571,35.53333333333333,38.0,2026-07-19 17:41:27.344846+00:00
2026-04-20,36.0,36.0,36.0,62.4,62.4,62.4,38.0,38.0,38.0,,,,lahore,31.5204,74.3587,pm25,90,5,20,4,0,0,32.0,18.75,35.0,33.1,2026-07-19 17:41:27.344846+00:00
2026-04-20,46.0,46.0,46.0,52.6,52.6,52.6,33.1,33.1,33.1,,,,lahore,31.5204,74.3587,pm25,91,6,20,4,0,0,38.0,-12.894736842105258,34.36666666666667,32.0,2026-07-19 17:41:27.344846+00:00
2026-04-20,62.0,62.0,62.0,45.3,45.3,45.3,32.0,32.0,32.0,,,,lahore,31.5204,74.3587,pm25,92,7,20,4,0,0,33.1,-3.3232628398791584,34.36666666666667,30.3,2026-07-19 17:41:27.344846+00:00
2026-04-20,81.0,81.0,81.0,44.7,44.7,44.7,30.3,30.3,30.3,,,,lahore,31.5204,74.3587,pm25,93,8,20,4,0,0,32.0,-5.312499999999998,31.8,24.3,2026-07-19 17:41:27.344846+00:00
2026-04-20,107.0,107.0,107.0,43.7,43.7,43.7,24.3,24.3,24.3,,,,lahore,31.5204,74.3587,pm25,94,9,20,4,0,0,30.3,-19.801980198019802,28.866666666666664,18.7,2026-07-19 17:41:27.344846+00:00
